Metadata Name/Nom de métadonnées,,Mercury concentrations in the Canadian Arctic marine ecosystem,Concentrations de mercure de l’écosystème marin dans l’Arctique canadien,,,,,,
Hudson Bay,23,2005,59.06,87.482,188,0.3,81.9,63.5,22.9
Hudson Bay,24,2005,59.041,94.001,0,0.4,30.5,18.7,0.5
Hudson Bay,24,2005,59.041,94.001,20,0.3,27,44.8,1.1
Hudson Bay,24,2005,59.041,94.001,45,0.2,41,27.6,3.2
,,,,,,,,,
Data Dictionary/dictionnaire de données,,,,,,,,,
Attribute/attribut ,,Definition (English/Anglais),Définition (French/Français),,,,,,
SiteName ,,Site name,nom du site,,,,,,
SiteNumber,,Site Number,numéro de site,,,,,,
Year ,,Year (YYYY),Année (AAAA),,,,,,
Latitude ,,Latitude (decimal degrees),Latitude (degrés décimaux),,,,,,
Longitude ,,Longitude (decimal degrees),Longitude (degrés décimaux),,,,,,
Water_Column_Depth,,"Depth the water sample was collected (meters, m)","Profondeur de l'échantillon d'eau a été recueillie (mètres, m)",,,,,,
THg,,Total mercury measured in nanograms per litre (ng/L),Mercure total mesuré en nanogrammes par litre (ng/L),,,,,,
GEM,,Gaseous elemental mercury measured in picograms per litre (pg/L),Mercure élémentaire gazeux mesurée en picogrammes par litre (pg/L) ,,,,,,
Methylated_Hg,,Methylated mercury measured in picograms per litre (pg/L),Mercure méthylé mesurée en picogrammes par litre (pg/L) ,,,,,,
DMHg,,Dimethyl mercury measured in picograms per litre (pg/L),Diméthyle mercure mesurées en picogrammes par litre (pg/L) ,,,,,,
